

C					B				D	3	127.0.0.1	2014.09.14	07:31:05pm

C	B		C			C		A	D	6	112.14.0.135	2014.09.14	09:04:04pm

C					B	C	B	A	D	6	112.14.0.135	2014.09.14	09:21:49pm

C	B	B	C	A	B	C	B	A	D	10	112.14.0.135	2014.09.14	09:28:08pm

C					B	C	B	A	D	6	112.14.0.135	2014.09.14	09:31:10pm

C	B	B	C	A	B	C	B	A	D	10	122.245.52.237	2014.09.14	09:56:26pm

										0	123.152.237.199	2014.09.14	10:42:09pm

C	B	B	C	A	B	C	B	A	D	10	115.214.136.15	2014.09.14	10:49:50pm

C	B	B	C	A	B	C	B	A	D	10	183.132.196.13	2014.09.14	11:09:01pm

C						C	B	A	D	5	117.148.181.49	2014.09.15	03:15:43am

C	B		C	A	B	C	B	A	D	9	112.14.52.161	2014.09.15	05:36:06am

										0	112.14.52.161	2014.09.15	05:37:25am

C	B	B	C	C	B	C	B	A		8	211.140.18.120	2014.09.15	06:32:19am

C		B	C	C	B	D	C	A	C	5	175.167.144.5	2014.09.15	07:19:22am

										0	125.111.91.171	2014.09.15	07:49:37am

A	B	B	C	A	B	C	B	A	D	9	111.1.171.184	2014.09.15	07:49:42am

C	B	B	C	A	B	C	B	A	D	10	115.215.77.146	2014.09.15	07:56:21am

C	B	B	C	A	B	C	B	A	D	10	180.166.196.218	2014.09.15	08:07:40am

A					B		B		D	3	112.14.22.233	2014.09.15	08:35:23am

C		B	D	B	B	C	C	A	D	6	101.71.184.169	2014.09.15	08:49:26am

C	B	B	C	A	B	C	B	A	D	10	61.153.150.99	2014.09.15	09:06:50am

C	B	B	C	A	B	C	B	A	B	9	61.130.101.186	2014.09.15	09:14:15am

C	B	B	C	A	B	C	B	A	D	10	124.89.192.174	2014.09.15	10:52:03am

C	B	B	C	A	B	C	B	A	D	10	125.111.233.65	2014.09.15	11:58:36am

C	B	B	C	A	B	C	B	A	D	10	58.223.4.10	2014.09.15	11:06:51pm
